Vocab-sound-local	Sentence-expression	Sentence-meaning
kanojo ha bungaku ni kyoumi wo motteiru no yo 。	彼女は文学に興味を持っているのよ。	She's interested in literature.
kanojo no yuushou ni kangeki shi koufun shimashita	彼女の優勝に感激し興奮しました。	I was excited and moved by her victory.
kankyaku ha koufun shite ita yo	観客は興奮していたよ。	The spectators became excited.
gendai no kagaku no shinpo ni ha odoroku yo	現代の科学の進歩には驚くよ。	The advancement of contemporary science surprises me.
anata wo odorokasu hanashi ga arimasu	あなたを驚かす話があります。	I have a story that will surprise you.
youyaku ketsuron ni itatta you ne	ようやく結論に至ったようね	It seemed that we finally reached a conclusion.
konbini ha itarutokoro ni arimasu	コンビニは至る所にあります。	Convenience stores are everywhere.
kaisha kara shikyuu to no renraku ga atta n da	会社から「至急」との連絡があったんだ。	"The company contacted me on an ""urgent"" matter."
nagai hanashiai no sue yatto doui ni itatta	長い話合いの末、やっと同意に至った。	After long talks, they finally reached an agreement.
gochuumon no shina ha asu shukka itashimasu	ご注文の品は明日出荷致します。	We will ship the ordered goods tomorrow.
minna no iken ga itchi shimashita	皆の意見が一致しました。	We all agreed in opinion.
watashi kara gorenraku itashimasu	私からご連絡致します。	I'll get in touch with you.
densha ga jutsu pun okure de touchaku shita n da	電車が10分遅れで到着したんだ。	The train arrived ten minutes late.
yoru 9 ji ni toukyou ni touchaku shimashita	夜9時に東京に到着しました。	I arrived at Tokyo at 9 pm.
mousugu mokuhyou no chiten ni toutatsu shimasu	もうすぐ目標の地点に到達します。	We'll soon be arriving at our destination.
kare ha karou no tame ni taoreta no	彼は過労のために倒れたの。	He collapsed from overworking.
shiriai ga kyuubyou de taoreta	知り合いが急病で倒れた。	An acquaintance of mine suddenly fell ill.
kaisha ga tousan shimashita	会社が倒産しました。	The company went bankrupt.
kaisha de mendou na koto ga okotta no	会社で面倒なことが起こったの。	There was some trouble at the office.
buka ga hirou de taoreta no	部下が疲労で倒れたの。	My subordinate collapsed from fatigue.
ekimae no namiki ga taifuu de taoreta rashii	駅前の並木が台風で倒れたらしい。	I hear the trees around the station fell over due to the typhoon.
koko ni naname ni sen wo hiite kudasai	ここに斜めに線を引いてください。	Please draw a line here diagonally.
tappuri to massaaji shite moraimashita	たっぷりとマッサージしてもらいました。	I got a full massage.
ohisama ga nishi ni katamukimashita ne	お日様が西に傾きましたね。	The sun went down in the west.
kanojo ha kubi wo sukoshi katamukete warau no	彼女は首を少し傾けて笑うの。	She cocks her head slightly to the side when she smiles.
kono saka wo noboru no ha sugoku kitsui ne	この坂を上るのはすごくきついね。	Going up this slope is very hard.
koko kara saki ha yuruyaka na saka ni natte imasu	ここから先は緩やかな坂になっています。	There's a gentle slope ahead.
sakamichi de giaa wo chenji shita yo	坂道でギアーをチェンジしたよ。	I changed gear as the road sloped.
koko kara michi no haba ga sebamatte imasu	ここから道の幅が狭まっています。	The road narrows from here.
motto han'i wo sebamete sagashimashou	もっと範囲を狭めて探しましょう	Let's narrow the range and search.
semai kuukan ni mono ga takusan oite aru ne	狭い空間に物がたくさん置いてあるね。	A lot of things have been put into a tight space.
kono michi ha haba ga semai no de ki wo tsukete unten shite kudasai	この道は幅が狭いので気をつけて運転してください。	This road is narrow so please drive carefully.
kono saki ha jokou shite kudasai	この先は徐行して下さい。	Please go slowly ahead.
toshi wo toru to kekkan ga kataku narimasu	年をとると血管が硬くなります。	The blood vessels harden with age.
rika no jikan ni ishi no katasa wo kurabeta yo	理科の時間に石の硬さを比べたよ。	In science class we compared the hardness of stones.
kataku naranai de shizenni hanashite kudasai	硬くならないで、自然に話して下さい。	Please speak naturally without being formal.
kare ha juunan ni taiou wo shita	彼は柔軟に対応をした。	He gave a flexible response.
kare ha juudou de koshi wo itameta n da	彼は柔道で腰を傷めたんだ。	He hurt his lower back doing judo.
yawarakai hizashi ga kimochi ii ne	柔らかい日差しが気持ちいいね。	Soft sunlight feels pleasant.
kinkyuu jitai ga hassei shita	緊急事態が発生した。	An emergency situation arose.
kare ha kinchou shite ita na	彼は緊張していたな。	He felt nervous.
kachou ha shibashiba shutchou shimasu	課長はしばしば出張します。	The section chief often goes on business trips.
buchou ha kyouto ni shutchouchuu desu	部長は京都に出張中です。	The manager is on a business trip to Kyoto.
kyuu ni shutchou wo meijiraremashita	急に出張を命じられました。	I was suddenly sent on a business trip.
kanojo ha hitomae ni deru to kinchou shimasu	彼女は人前に出ると緊張します。	She feels nervous in front of other people.
haha ha harikitte obentou wo youi shita no	母は張り切ってお弁当を用意したの。	My mother went all out when she made this lunch box.
kanojo ha yokubari desu	彼女は欲張りです。	She's greedy.
soko no kado de kuruma doushi ga shoutotsu shita no yo	そこの角で車同士が衝突したのよ。	The cars collided into each other at the corner there.
tomodachi no otousan ga totsuzen shitsugyou shita no	友達のお父さんが突然失業したの。	My friend's father suddenly lost his job.
koujou no entotsu kara kemuri ga agatte iru	工場の煙突から煙が上がっている。	Smoke is rising from the factory's smokestack.
juujiro de kuruma to baiku ga shoutotsu shita zo	十字路で車とバイクが衝突したぞ。	The car collided with a motorcycle in the crossroads.
kaijou de shoutotsu jiko ga hassei shita	海上で衝突事故が発生した。	There was a collision at sea.
totsuzen nani wo iidasu no ka to omotta	突然何を言い出すのかと思った。	I wondered what you would say out of the blue.
entotsu kara kemuri ga massugu agatte ita no	煙突から煙がまっすぐ上っていたの。	Smoke was rising straight up from the chimney.
kare ha totsuzen hashiridashita no yo	彼は突然走り出したのよ。	He suddenly began to run.
kare ha biriyaado no tama wo jouzu ni tsuku ne	彼はビリヤードの球を上手に突くね。	He shoots pool very well.
musume ga totsuzen hatsunetsu shita n da	娘が突然、発熱したんだ。	My daughter suddenly developed a fever.
basu ga jouyousha ni tsuitotsu shita yo	バスが乗用車に追突したよ。	The bus bumped the passenger car from behind.
totsuzen no shitsumon ni dokitto shita yo	突然の質問にどきっとしたよ。	I was taken aback by the sudden question.
totsuzen kikai ga teishi shite shimatta no	突然、機械が停止してしまったの。	The machine stopped suddenly.
kono kiji ha nameraka na tezawari ga tokuchou desu	この生地は滑らかな手触りが特長です。	This cloth's main feature is its smooth texture.
te to te ga furete dokidoki shita yo	手と手が触れてどきどきしたよ。	My heart pounded as our hands touched.
shinshitsu no kabegami wo harikaemashita	寝室の壁紙を張り替えました。	I repapered the bedroom walls.
kare ha kabe ni mimi wo kuttsukete tonari no hanashi wo kiite ita no	彼は壁に耳をくっ付けて隣の話を聞いていたの。	He pressed his ear to the wall and listened to what the people next door were saying.
kuruma wo kabe ni butsukete shimaimashita	車を壁にぶつけてしまいました。	The car hit the wall.
kabe no penki ga hagete kita na	壁のペンキがはげてきたな。	The paint on the wall is peeling off.
kanojo ha kinou kara watashi no koto wo sakete iru you nan da	彼女は昨日から私のことを避けているようなんだ。	She seems to have been avoiding me since yesterday.
gakkou de hinan kunren ga arimashita	学校で避難訓練がありました。	There was a fire drill at the school.
nantoka saiaku no jitai wo sakeru koto ga dekimashita	何とか最悪の事態を避けることができました。	Somehow we managed to avert the worst-case scenario.
abunai no de hinan shite kudasai	危ないので避難してください。	It's dangerous here, so please evacuate!
koko ha mukashi gunji kichi deshita	ここは昔、軍事基地でした。	This used to be a military base.
kare ha gunji ni kakawaru shigoto wo tsuzukete kita n da	彼は軍事に関わる仕事を続けてきたんだ。	He kept working in a job related to military affairs.
jieitai ga iraku ni haken sareta wa	自衛隊がイラクに派遣されたわ。	The Self Defense Forces were sent to Iraq.
kare ha guntai ni haitta yo	彼は軍隊に入ったよ。	He entered the military.
hikouki no tsuiraku jiko ga atta n da	飛行機の墜落事故があったんだ。	There was an airplane crash.
ryokakuki ga tsuiraku shita yo	旅客機が墜落したよ。	The passenger jet crashed.
ano kuni ha kyouryoku na heiki wo motte iru	あの国は強力な兵器を持っている。	That country has strong weapons.
mukashi ha kekkaku de takusan no hito ga nakunatta	昔は結核でたくさんの人が亡くなった。	In the past, a lot of people died of tuberculosis.
karera ha buki wo tori tachiagatta	彼らは武器を取り、立ち上がった。	They took arms, and stood up.
heitai ga juu wo kamaete ita yo	兵隊が銃をかまえていたよ。	The soldier was holding the gun at the ready.
kare ha pisutoru ni tama wo kometa n da	彼はピストルに弾を込めたんだ。	He loaded the pistol.
kono booru ha yoku hazumimasu ne	このボールはよく弾みますね。	This ball bounces well.
tameshi ni kono kyoku wo hiite mite kudasai	試しにこの曲を弾いてみてください。	Try playing this tune, by way of experiment.
marui botan wo osuto shattaa ga shimarimasu	丸いボタンを押すとシャッターが閉まります。	The shutter closes when you push the round button.
kami wo kushakusha ni marumemashita	紙をくしゃくしゃに丸めました。	I rolled the paper into a ball.
kyou ha tsuki ga manmaru desu	今日は月が真ん丸です。	The moon is perfectly round today.
daigaku de ha butsuri wo senkou shite imashita	大学では物理を専攻していました。	I majored in physics at university.
kare ha sekkyokuteki ni semeta ga katenakatta na	彼は積極的に攻めたが勝てなかったな。	He didn't win although he put up a good attack.
kare ha jaanarizumu wo senkou shite iru	彼はジャーナリズムを専攻している。	He majors in journalism.
daigaku de jinbunkagaku wo senkou shimashita	大学で人文科学を専攻しました。	I majored in humanities when I was in college.
otouto ha bijutsu wo senkou shite imasu	弟は美術を専攻しています。	My little brother majors in fine art.
kare ha butsuri wo senkou shite iru	彼は物理を専攻している。	He majors in physics.
kare ttara ikari bakuhatsu datta yo	彼ったら怒り爆発だったよ。	He blew his stack.
gasukan ga bakuhatsu shimashita	ガス管が爆発しました。	The gas pipe exploded.
sono bakugeki de heishi ga sannin fushou shimashita	その爆撃で兵士が3人負傷しました。	Three soldiers were injured in the bombing.
dainamaito ga bakuhatsu shita n da	ダイナマイトが爆発したんだ。	The dynamite exploded.
sono machi ni bakudan ga otosareta no	その町に爆弾が落とされたの。	Bombs were dropped on that town.
kare ha bouryoku jiken wo okoshita n da yo	彼は暴力事件を起こしたんだよ。	He caused a violent incident.
kare ha waruyoi shite abareta n da	彼は悪酔いして暴れたんだ。	He was so drunk that he became violent.
kinou kabuka ga bouraku shimashita	昨日株価が暴落しました。	Stock prices dropped sharply yesterday.
kare ha hibouryoku wo tokimashita	彼は非暴力を説きました。	He preached nonviolence.
bouryoku ha ikemasen	暴力はいけません。	Violence is wrong.
hito ni ranbou shite ha ikemasen	人に乱暴してはいけません。	You must not use violence on people.
totsuzen no kanashimi ga ikka wo osoimashita	突然の悲しみが一家を襲いました。	Sudden grief fell upon the whole family.
nihon de ha taezu kome no hinshu wo kairyou shite iru no	日本では絶えず米の品種を改良しているの。	Varieties of rice are always being improved in Japan.
sono chiiki de ha arasoi ga taemasen	その地域では争いが絶えません。	There are ceaseless conflicts in that region.
sonna koto ha zettai dekinai yo	そんなことは絶対できないよ。	I can never ever do such a thing.
kanojo ha odoroite kizetsu shite shimatta no	彼女は驚いて気絶してしまったの。	She fainted in surprise.
kyou ha taezu denwa ga narimashita	今日は絶えず電話が鳴りました。	The telephone didn't stop ringing today.
ano ie ha warai ga taenai ne	あの家は笑いが絶えないね。	Laughter never stops in that house.
nikutai ha itsuka horobimasu	肉体はいつか滅びます。	Our bodies must perish at some time or another.
sono bunmei ha nanzennen mo mae ni horobite shimatta no	その文明は何千年も前に滅びてしまったの。	That civilization was destroyed thousands of years ago.
o mise ni bouhan kamera ga setchi sareta wa ne	お店に防犯カメラが設置されたわね。	A security camera was installed in the shop.
kakusensou ha zettai ni fusegu beki yo	核戦争は絶対に防ぐべきよ。	Nuclear war should be avoided at all costs.
chanpion ga taitoru wo bouei shita	チャンピオンがタイトルを防衛した。	The champion defended the title.
keisatsu ha hanzai no boushi ni tsutomete imasu	警察は犯罪の防止に努めています。	The police are making efforts to prevent crime.
gakkou de boukakunren ga arimashita	学校で防火訓練がありました。	There was a fire drill at school.
tensai wo fusegu koto ha dekimasen	天災を防ぐことはできません。	Natural disasters can't be prevented.
kare ni eigyou wo bougai saremashita	彼に営業を妨害されました。	My business operations were thwarted by him.
chichi ha rasshuawaa wo kiratte imasu	父はラッシュアワーを嫌っています。	My father dislikes rush hour.
kare ha tabako no kemuri wo iyagaru no	彼はタバコの煙を嫌がるの。	He dislikes cigarette smoke.
kanojo ha taihen kigen ga ii ne	彼女は大変機嫌がいいね。	She is in a very good mood.
tabemono no sukikirai ha tokuni arimasen	食べ物の好き嫌いは特にありません。	I have no particular likes or dislikes when it comes to food.
yuube ha tetsuya shimashita	ゆうべは徹夜しました。	I stayed up all last night.
umi no soko ni ha fushigi na seibutsu ga takusan iru yo	海の底には不思議な生物がたくさんいるよ。	There are a lot of strange creatures at the bottom of the sea.
heya no naka wo tetteiteki ni sagashimashita	部屋の中を徹底的に探しました。	I searched inside the room thoroughly.
konyajuu ni toukyou ni tsuku no ha toutei muri deshou	今夜中に東京に着くのは到底無理でしょう。	We can't possibly arrive in Tokyo tonight.
kare no hatsugen ni taishite takusan no kougi ga atta yo	彼の発言に対してたくさんの抗議があったよ。	His remark was met with numerous complaints.
hannin ha keisatsu ni teikou shita no	犯人は警察に抵抗したの。	The criminal resisted the police.
sono guriin no sukaafu suteki desu ne	そのグリーンのスカーフ、素敵ですね。	That green scarf is lovely, isn't it?
suteki na purezento wo arigatou	素敵なプレゼントをありがとう。	Thank you for the wonderful gift.
kare ha suteki na dansei desu	彼は素敵な男性です。	He's a wonderful man.
kono fuku no dezain ha suteki desu ne 。	この服のデザインは素敵ですね。	The design of this garment is wonderful.
kare ha kyouteki wo migoto ni yabutta ne	彼は強敵を見事に破ったね。	He heroically defeated the powerful enemy.
kinou suteki na doresu wo kaimashita	昨日素敵なドレスを買いました。	I bought a wonderful dress yesterday.
kanojo no yokogao ha suteki da	彼女の横顔は素敵だ。	Her profile is lovely.
asoko ni teki ga hisonde iru	あそこに敵がひそんでいる。	The enemy is lurking there.
odokasanai de yo	脅かさないでよ。	Don't threaten me.
hakase ha sonomichi no ken'i desu	博士はその道の権威です。	The doctor is an authority in that field.
kare ha ibatte nanka imasen	彼は威張ってなんかいません。	He's not putting on airs.
watashi ha sekai jousei wo shiru tame ni mainichi nyuusu wo miru wa	私は世界情勢を知るために毎日ニュースを見るわ。	I watch the news everyday to know about world affairs.
sono chiimu ni ha ikioi ga arimasu ne	そのチームには勢いがありますね。	That team has momentum.
oozei no katagata ni goshusseki itadakimashita	大勢の方々にご出席いただきました。	It was attended by a lot of people.
kenbutsunin ga oozei atsumatte iru ne	見物人が大勢集まっているね。	Many spectators have gathered.
sagyou wo hajimeru taisei ha totonotte imasu	作業を始める態勢は整っています。	The preparations for starting work are completed.
kanojo ha jibun no sugata wo kagami ni utsushita no	彼女は自分の姿を鏡に映したの。	She looked at herself in the mirror.
shodou wo suru to shisei mo yoku narimasu	書道をすると姿勢も良くなります。	Posture also improves when you study calligraphy.
kare ha itsumo ukemi no shisei de jibun karaha nani mo shinai n da	彼はいつも受け身の姿勢で、自分からは何もしないんだ。	He is always passive and never initiates anything himself.
kare ha youyaku sugata wo arawashimashita ne	彼はようやく姿を現しましたね。	He finally showed up.
kare ha tsuneni shisei ga ii	彼は常に姿勢がいい。	His posture is always good.
shi wo osoreru no ha shizen na koto desu	死を恐れるのは自然なことです。	It is natural to be afraid of death.
kare ha juken no shippai wo osorete imasu	彼は受験の失敗を恐れています。	He is worrying about failing the examination.
ashita ha osoraku hareru deshou	明日は恐らく晴れるでしょう。	The weather will probably clear up tomorrow.
kare ha kowai kaotsuki de hanashita no	彼は恐い顔付きで話したの。	He spoke with a scary look on his face.
kanojo ha kumo wo kowagarimasu	彼女はクモを怖がります。	She is afraid of spiders.
ano kyodai na tatemono ha hakubutsukan desu	あの巨大な建物は博物館です。	That huge building is a museum.
kanojo ha shusseki wo kyohi shita	彼女は出席を拒否した。	She refused to attend.
koukou sotsugyou go keiretsu no daigaku ni susumimashita	高校卒業後、系列の大学に進みました。	After graduating from high school, he entered an affiliated university.
denki keitou wo zumen de tashikamemashita	電気系統を図面で確かめました。	I checked the electrical system on the diagram.
kinmu no taikei wo minaosu koto ni shimashita	勤務の体系を見直すことにしました。	We've decided to review the work system.
kare ha rikei no gakusei desu	彼は理系の学生です。	He's a science student.
kanojo ha bunkei desu	彼女は文系です。	She's in a humanities program.
kare ha odanobunaga no shison da yo	彼は織田信長の子孫だよ。	He is a descendant of Oda Nobunaga.
kono shatsu ha kinu de dekite imasu	このシャツは絹でできています。	This shirt is made of silk.
watashi ha men no shatsu wo yoku kimasu	私は綿のシャツをよく着ます。	I often wear cotton shirts.
kanojo ha nantoka kenkou wo iji shite iru wa ne	彼女は何とか健康を維持しているわね。	Somehow, she manages to keep healthy.
minari no ii shinshi ga hanashikakete kita no	身なりのいい紳士が話しかけてきたの。	A well-dressed gentleman spoke to me.
ano kuni ha keizaiteki ni han'ei shite iru wa ne	あの国は経済的に繁栄しているわね。	That country is prospering economically.
kare ha idai na jigyou wo nashitoge mashita	彼は偉大な事業をなしとげました。	He accomplished a great project.
kare ha idai na hatsumeiou desu	彼は偉大な発明王です。	He's a great master of invention.
nikkan goudou no konsaato ga hirakareta yo	日韓合同のコンサートが開かれたよ。	There was a joint concert with Japan and South Korea.
nihon eiga de katana wo mita	日本映画で刀を見た。	I saw a sword in a Japanese movie.
kamisori no ha de yubi wo kirimashita	かみそりの刃で指を切りました。	I cut my finger with a razor blade.
kono biru ha oojishin ni taerareru deshou ka	このビルは大地震に耐えられるでしょうか。	Would this building be able to withstand a large earthquake?
yajirushi ni sotte aruite kudasai	矢印にそって歩いてください。	Please follow the arrow.
kare ha kodoku na jinsei wo okutte ita n da	彼は孤独な人生を送っていたんだ。	He lived a solitary life.
tsumekiri wo totte kudasai	爪切りを取ってください。	Please pass me the nail clipper.
sunabokori de tsukue ga zarazara shite iru ne	砂ぼこりで机がざらざらしているね。	The top of the desk is rough because of the sandy dust.
tsukue no ue ni shorui ga chirabatte iru	机の上に書類が散らばっている。	The documents were scattered on the desk.
waku no naka ni kotae wo kaite kudasai	枠の中に答えを書いてください。	Please write the answer in the box.
kono tana ha suihei ni natte imasen ne	この棚は水平になっていませんね。	This shelf is not horizontal.
kuruma no shindou de tana no nimotsu ga ochita 。	車の振動で棚の荷物が落ちた。	Vibration from a passing car caused things on the shelf to fall down.
jisho ha hondana no hashi ni arimasu	辞書は本棚の端にあります。	The dictionary is at the end of the bookshelf.
bou wo teepu de kotei shinasai	棒をテープで固定しなさい。	Fix the stick in place with tape.
bou no sentan wo motte kudasai	棒の先端を持って下さい。	Please hold the end of the stick.
kono bou ha nani ni tsukau no desu ka	この棒は何に使うのですか。	What do you use this stick for?
sono hosonagai bou wo totte kudasai	その細長い棒を取ってください。	Please take that long, thin stick.
kore made hanashiatta kotogara wo matomete kudasai	これまで話し合った事柄をまとめてください。	Please summarize the things we have been talking about so far.
kare ha inu no gara no Tshatsu wo kite iru yo	彼は犬の柄のTシャツを着ているよ。	He's wearing a T-shirt with a dog print on it.
minna kare no atatakai hitogara ga daisuki da yo	みんな彼の温かい人柄が大好きだよ。	Everyone loves his warm personality.
kare no iegara ha bushi deshita	彼の家柄は武士でした。	He's from a samurai family.
yuki no omomi de eda ga ore sou da	雪の重みで枝が折れそうだ。	The branch looks like it might snap due to the weight of the snow.
kyoufuu de ki no eda ga oreta	強風で木の枝が折れた。	The tree branch broke in the strong wind.
kono niwa ha kusaki ga karete iru ne	この庭は草木が枯れているね。	The plants dry out in this garden.
soto ha kogarashi ga fuite iru yo	外は木枯らしが吹いているよ。	A cold wintry wind is blowing outside.
kanojo no shi ha sekaijuu de yuumei ni natta n da	彼女の詩は世界中で有名になったんだ。	Her poetry became famous all over the world.
kare ha sugureta shijin desu	彼は優れた詩人です。	He is a fine poet.
kigae wo ryokou kaban ni tsumeta yo	着替えを旅行カバンに詰めたよ。	I packed spare clothes in a travel bag.
kono paipu ha tsumatte imasu yo	このパイプは詰まっていますよ。	This pipe is blocked.
kaban ni nimotsu wo tsumemashita	かばんに荷物を詰めました。	I packed my things into the bag.
purinta no inku ga tsumatte shimaimashita	プリンタのインクが詰まってしまいました。	The printer's ink got blocked up.
nimotsu wo muriyari kaban ni tsumeta yo	荷物を無理やりかばんに詰めたよ。	I forced my belongings into the bag.
joushi ga kuruma wo yuzutte kureta no	上司が車を譲ってくれたの。	My boss gave me his car.
nenpai no hito ni seki wo yuzurimashita	年配の人に席を譲りました。	I gave up my seat to an elderly person.
kare no taido ha seii wo kaite imasu	彼の態度は誠意を欠いています。	His attitude lacks sincerity.
kare ha totemo seijitsu na hito desu	彼はとても誠実な人です。	He is a very honest person.
makotoni arigatou gozaimasu	誠にありがとうございます。	Thank you very much indeed.
sono toshi ha shougyou ga sakan yo	その都市は商業が盛んよ。	Commerce is thriving in that city.
kanojo no toujou de kaijou ha moriagatta ne	彼女の登場で会場は盛り上がったね。	The audience got excited as she appeared.
ouendan ga shiai wo moriageta n da	応援団が試合を盛り上げたんだ。	The cheering squad boosted the excitement of the game.
kono chihou ha gyogyou ga sakan desu	この地方は漁業が盛んです。	The fishing industry is flourishing in this region.
sakuya no paatei ha totemo moriagatta na	昨夜のパーティはとても盛り上がったな。	Last night's party was very lively.
gohan wo motte kudasai	ご飯を盛ってください。	Please fill the bowl with rice.
sonna ni kenson shinakute mo ii	そんなに謙遜しなくてもいい。	You do not need to be so modest.
kanojo ha hisho to jimu no tantou wo kanete imasu	彼女は秘書と事務の担当を兼ねています。	She's in charge of both secreterial and clerical work.
kongo no houshin ga koushiki ni happyou saremashita	今後の方針が公式に発表されました。	The future policy was officially announced.
hari ni ito wo tooshite kudasai	針に糸を通してください。	Please thread the needle.
haha ha ito wo hari ni tooshita	母は糸を針に通した。	My mother threaded the needle.
penchi de harigane wo kirimasu	ペンチで針金を切ります。	I cut the wire with pincers.
haha ha otsuri wo tashikameta no	母はお釣りを確かめたの。	My mother checked the change.
kare ha tsuri no meijin desu	彼は釣りの名人です。	He's an expert angler.
chichi ha tsuri ga daisuki desu	父は釣りが大好きです。	My father loves fishing.
tsutta sakana wo nigashimashita	釣った魚を逃がしました。	I let go of the fish I had caught.
kono kamihikouki ha sayuu no tsuriai ga torete inai na	この紙飛行機は左右の釣り合いがとれていないな。	The right-left balance on this paper airplane isn't right.
shuunyuu to shishutsu ga tsuriatte inai	収入と支出が釣り合っていない。	The income and expenses don't balance.
kyou ha atama no kaiten ga nibui desu	今日は頭の回転が鈍いです。	My brain is working slowly today.
ano hito ha sukoshi donkan da to omoimasu	あの人は少し鈍感だと思います。	That person is a bit thickheaded I think.
inu wo kusari de tsunagimashita	犬を鎖でつなぎました。	I tied up the dog with a chain.
watakushi ha suzuki to moushimasu	私は鈴木と申します。	My name is Suzuki.
aikagi no sakusei ni ha futsuka hodo kakarimasu	合鍵の作製には2日ほどかかります。	It takes about two days to make a duplicate key.
konya ha opera kanshou ni ikimasu	今夜はオペラ鑑賞に行きます。	I'm going to see an opera tonight.
koko ni uketori no inkan wo onegai shimasu	ここに受け取りの印鑑をお願いします。	Please put your personal seal here for the receipt.
kono kane no ne ha totemo kirei desu ne	この鐘の音はとてもきれいですね。	The sound of this bell is very beautiful.
kono hachiue ha kanshouyou desu	この鉢植えは観賞用です。	This potted plant is for ornamental purposes.
kono onabe ha aruminiumu sei desu	このお鍋はアルミニウム製です。	This pan is made of aluminum.
kono nabe ha tetsu de dekite imasu	この鍋は鉄でできています。	This pot is made of iron.
sushi no demae wo tanonda yo	寿司の出前を頼んだよ。	We ordered some sushi by delivery.
sono mura ha fukai tani ni aru no	その村は深い谷にあるの。	The village is in a deep valley.
shuppatsu made jikan no yoyuu ga arimasu	出発まで時間の余裕があります。	There's plenty of time until departure.
natsuyasumi ni ha kaisuiyoku ni ikimasu	夏休みには海水浴に行きます。	I go to swim in the sea during the summer.
watashi ha mainichi neru mae ni nyuuyoku shimasu	私は毎日寝る前に入浴します。	I take a bath every day before I go to bed.
sekidou ni sotte tabi wo shimashita	赤道に沿って旅をしました。	I traveled around, following the equator.
kawa ni sotte aruita n da	川に沿って歩いたんだ。	I walked along the river.
asa hayaku sunahama wo sanpo shimashita	朝早く砂浜を散歩しました。	I strolled on the beach early in the morning.
konban hama de hanabi taikai ga arimasu yo	今晩、浜で花火大会がありますよ。	There's going to be a fireworks show at the beach tonight.
sunahama wo hadashi de kakemawatta n da	砂浜をはだしでかけ回ったんだ。	He ran around on the beach barefoot.
oki ni booto ga ukande imasu	沖にボートが浮かんでいます。	The boat is floating off the coast.
oki ni kojima ga miemasu	沖に小島が見えます。	A small island can be seen off the shore.
toukyouwan ha juuyou na yakuwari wo hatashite iru	東京湾は重要な役割を果たしている。	Tokyo Bay plays an important role.
mori no naka ni kirei na izumi ga aru no	森の中にきれいな泉があるの。	There is a beautiful spring in the forest.
koko no onsen ha yoku kiku sou desu	ここの温泉はよく効くそうです。	I hear this hot spring is very effective.
koko ha tennen no onsen desu	ここは天然の温泉です。	This is a natural hot spring.
jouryuu ni ha taki ga arimasu	上流には滝があります。	There is a waterfall upstream.
karyuu ni chiisa na taki ga aru yo	下流に小さな滝があるよ。	There is a small waterfall downstream.
hiroba ni kodomo ga takusan atsumatte ita yo	広場に子供が沢山集まっていたよ。	A lot of children had gathered in the plaza.
mizu no ondo ni karada wo narashite kara mogutta hou ga ii zo	水の温度に体を慣らしてから、潜ったほうがいいぞ。	You should dive only after getting your body used to the water temperature.
kare ha nagai aida umi ni mogutte ita no	彼は長い間海に潜っていたの。	He was diving in the sea for a long time.
kare ha kanojo ni reitan na taido wo totta ne	彼は彼女に冷淡な態度をとったね。	He took a cold-hearted attitude toward her.
sono ike no mizu ha nigotte iru ne	その池の水は濁っているね。	The pond water is cloudy.
yama no kuuki ha sunde imasu ne	山の空気は澄んでいますね。	The mountain air is clear.
basutabu kara oyu ga afuremashita	バスタブからお湯があふれました。	The hot water overflowed from the bathtub.
oyu ha potto ni haitte imasu	お湯はポットに入っています。	There's some hot water in the thermos pot.
yakan kara yuge ga dete imasu yo	やかんから湯気が出ていますよ。	Steam is coming out the kettle.
hitobito ha yorokobi ni waita	人々は喜びに沸いた。	The people were buzzing with happiness.
sentakumono ga mada shimette imasu	洗濯物がまだ湿っています。	The laundry is still damp.
sono jiko de taryou no gasumore ga atta ne	その事故で多量のガス漏れがあったね。	A large amount of gas leaked because of the accident.
kare no heddofon kara oto ga morete iru ne	彼のヘッドフォンから音が漏れているね。	Sound is leaking from his headphones.
himitsu wo morashita no ha kare desu	秘密を漏らしたのは彼です。	He's the one who leaked the secret.
koppu no soko ga nurete imasu yo	コップの底が濡れていますよ。	The bottom of the glass is wet.
e no daibubun ga mizu ni nurete shimatta na	絵の大部分が水に濡れてしまったな。	A large portion of picture got wet.
keitai denwa wo mizu de nurashite shimatta n da	携帯電話を水で濡らしてしまったんだ。	I got my cell phone wet.
kuruma ga mizo ni hamatta no	車が溝にはまったの。	The car got stuck in the ditch.
misoshiru ni negi wo iremashita	みそ汁にねぎを入れました。	I put green onions in the miso soup.
chikyuu kankyou no kiki ga sakebarete iru no yo	地球環境の危機が叫ばれているのよ。	There's an outcry over a world-wide environmental crisis.
kanojo no kokoro no sakebi ni dare mo kizukanakatta yo	彼女の心の叫びに誰も気付かなかったよ。	No one noticed her cry from the heart.
kanojo ha tasuke wo motomete oogoe de sakenda no	彼女は助けを求めて大声で叫んだの。	She cried out for help.
kare ha ranbou na kotoba wo haita zo	彼は乱暴な言葉を吐いたぞ。	He hollered some rough words.
nageiteite mo nani mo kawarimasen	嘆いていても何も変わりません。	Grieving won't change anything.
koko de ha kitsuen dekimasen 。	ここでは喫煙できません。	Smoking is not permitted here.
mushiba ga zukizuki itamimasu	虫歯がずきずき痛みます。	I have a throbbing toothache.
aki ha mushi no ne ga kokochiii desu	秋は虫の音が心地良いです。	The chirping of insects in fall feels comfortable.
mushiba ha yobou dekimasu	虫歯は予防できます。	Tooth decay can be prevented.
