Vocab-sound-local	Sentence-expression	Sentence-meaning
kono purojiekuto de watashi ha kare to kunde iru n da	このプロジェクトで私は彼と組んでいるんだ。	I am pairing up with him for this project.	1
iroiro na hana wo kumiawase hanataba wo tsukurimashita	いろいろな花を組み合わせ花束を作りました。	I put many kinds of flowers together to make a bouquet.	1
kyanpeen ni atarashii ibento wo kumikomimashita	キャンペーンに新しいイベントを組み込みました。	We introduced a new event into the campaign.	1
kuizu bangumi wo miru no ga suki desu	クイズ番組を見るのが好きです。	I like to watch quiz shows.	1
kanojo ha supeingo ni torikunde imasu	彼女はスペイン語に取り組んでいます。	She's working on her Spanish.	1
suki na bangumi wo rokuga shita no	好きな番組を録画したの。	I recorded my favorite program.	2
rajio bangumi ni rikuesuto wo okutta no	ラジオ番組にリクエストを送ったの。	I sent a request to the radio show.	1
sono machi ha orimonogyou de yuumei desu	その町は織物業で有名です。	The town is famous for the textile industry.	1
arata na keikaku ga susunde imasu	新たな計画が進んでいます。	A new plan is in progress.	1
oote cheenten ga shinshutsu shite iru	大手チェーン店が進出している。	That major store chain is expanding.	1
gakkai ha yotei doori ni shinkou shite imasu	学会は予定通りに進行しています。	The academic conference is proceeding as scheduled.	1
kagaku gijutsu ha mezamashiku shinpo shite iru no	科学技術は目覚しく進歩しているの。	Science and technology have advanced remarkably.	1
kono michi wo massugu susumu to kokudou ni demasu	この道をまっすぐ進むと国道に出ます。	If you carry straight on this road you will come out at the national highway.	1
kaikaishiki de senshutachi ga koushin shimashita	開会式で選手たちが行進しました。	Players paraded at the opening ceremony.	1
kare ha yamamichi wo dondon susunde itta no	彼は山道をどんどん進んで行ったの。	He made quick progress along the mountain path.	1
taifuu ha hokusei ni susunde imasu	台風は北西に進んでいます。	The typhoon is advancing toward the northwest.	1
koko kara nansei ni susumu to mura ga arimasu	ここから南西に進むと村があります。	There's a village if you continue southwest from here.	1
paateii ni iku no ha nantonaku ki ga susumanai na	パーティーに行くのは何となく気が進まないな。	Somehow I don't feel like going to the party.	1
sono kaisha ha risaikuru wo suishin shite iru ne	その会社はリサイクルを推進しているね。	The company is promoting recycling.	1
dejikame shijou ha kyuusoku ni kakudai shite iru	デジカメ市場は急速に拡大している。	The digital camera market has expanded rapidly.	1
kanojo ha kakei wo makasarete iru no	彼女は家計を任されているの。	She's in charge of the family budget.	1
kanojo ha kaikei shunin desu	彼女は会計主任です。	She is an account manager.	1
chichioya ni ha ikka wo sasaeru sekinin ga aru	父親には一家を支える責任がある。	My father has the responsibility to support the family.	1
kare ha shikkari to sekinin wo hatashimashita	彼はしっかりと責任を果たしました。	He fulfilled his responsibilities diligently.	1
watashi ha 3 nensei no kurasu wo tannin shite imasu	私は3年生のクラスを担任しています。	I'm in charge of the third-grade class.	1
shachou no jinin ga kimarimashita	社長の辞任が決まりました。	The president's resignation has been agreed upon.	1
kare ha oseji wo iu no ga umai	彼はお世辞を言うのが上手い。	He is good at flattery.	1
eiwa jisho wo yoku tsukaimasu	英和辞書をよく使います。	I often use an English-Japanese dictionary.	1
denshi jisho ha totemo benri desu	電子辞書はとても便利です。	Electronic dictionaries are very useful.	1
watashi ha waei jisho wo yoku tsukaimasu	私は和英辞書をよく使います。	I often use a Japanese-English dictionary.	1
iinkai ha sono mondai ni tsuite kyougi shimashita wa	委員会はその問題について協議しましたわ。	The committee discussed the issue.	1
ashita iinkai ga hirakaremasu	明日、委員会が開かれます。	The committee meeting will be held tomorrow.	1
kare ha iin ni erabaremashita	彼は委員に選ばれました。	He was elected to the committee.	1
kare ha oote no meekaa ni tsutomete imasu	彼は大手のメーカーに勤めています。	He works for a big manufacturing company.	1
chichi ha izen kokutetsu ni tsutomete imashita	父は以前、国鉄に勤めていました。	My father used to work for Japan National Railways.	1
kare ha shiten ni tenkin shita yo	彼は支店に転勤したよ。	He was transferred to one of the branches.	1
obasan、konnichiha。	おばさん、こんにちは。	Good afternoon (addressed to a familiar middle-aged woman).	1
ani ha shousha ni tsutomete imasu	兄は商社に勤めています。	My elder brother works for a trading company.	1
maiasa shichi ji go fun ni shukkin shimasu	毎朝7時5分に出勤します。	I go to work at 7:05 every morning.	1
kare ha unsou gaisha ni tsutomete iru no	彼は運送会社に勤めているの。	He works for a transportation company.	1
kare ha kinben na hito desu	彼は勤勉な人です。	He is a diligent person.	1
watashi ha tsuukin ni jieiaaru wo tsukau n da	私は通勤にJRを使うんだ。	I commute by JR.	1
kongetsu ha shukkin nissuu ga ooi desu	今月は出勤日数が多いです。	I'm working many days this month.	1
watashi no tsutomesaki ni gorenraku kudasai	私の勤め先にご連絡ください。	Please contact my office.	1
raigetsu de tsutome wo yamemasu	来月で勤めをやめます。	I'll quit my job next month.	1
moshikashitara rainen tenkin ni naru kamo shirenai	もしかしたら来年転勤になるかも知れない。	It's possible that I might be transferred next year.	1
watashi no ichinichi no kinmujikan ha hachijikan desu	私の一日の勤務時間は8時間です。	I work 8 hours a day.	1
jimu no keiken ga sannen arimasu	事務の経験が3年あります。	I have three years experience in clerical work.	1
watashi no chichi ha koumuin desu	私の父は公務員です。	My father is a civil servant.	1
atarashii jimuin ga hairimashita	新しい事務員が入りました。	A new clerk joined the office.	1
kare ha saigo made jibun no ninmu wo hatashita	彼は最後まで自分の任務を果たした。	He fulfilled his duties right to the end.	1
kaisha ha juugyouin no kazu wo fuyasu yotei da	会社は従業員の数を増やす予定だ。	The company plans to increase the number of employees.	1
juugyouin ha asu kara sutoraiki desu	従業員は明日からストライキです。	Employees will go on strike from tomorrow.	1
watashi ha ryoushin ni shitagatte koudou shimasu	私は良心に従って行動します。	I behave according to my conscience.	1
kokumin ha hou ni shitagawanakereba naranai yo	国民は法に従わなければならないよ。	Citizens must observe the law.	1
atarashii shain wo yatoimashita	新しい社員を雇いました。	We employed a new staff member.	1
kare ha eigyou de jisseki wo ageta n da	彼は営業で実績を上げたんだ。	He achieved good results working in sales.	1
anata no seiseki ga sagatta no ha atarimae desu	あなたの成績が下がったのは当たり前です。	No wonder your grades dropped.	1
kanojo no seiseki ha jou no ge desu	彼女の成績は上の下です。	Her grades are ranked at the bottom of the top group.	1
kare ha toppu no seiseki de goukaku shimashita	彼はトップの成績で合格しました。	He passed with the best score.	1
kare ha toppu ni tsugu kouseiseki deshita	彼はトップに次ぐ好成績でした。	His excellent results were next to the top.	1
kotoshi no oubo sakuhin ha suijun ga takakatta ne	今年の応募作品は水準が高かったね。	The standard of entries this year was high.	1
kyuujin ni tasuu no oubo ga atta	求人に多数の応募があった。	There were a lot of applications for the job opening.	1
sono shigoto ni tasuu no oubo ga atta yo	その仕事に多数の応募があったよ。	There were a lot of applications for the job.	1
oubo sakuhin no daishou ha toimasen	応募作品の大小は問いません。	Submitted works of all sizes accepted.	1
shikaku wo yuusuru hito nomi oubo dekimasu	資格を有する人のみ応募できます。	Only qualified individuals may apply.	1
benkyou ni shuuchuu shinasai	勉強に集中しなさい。	Concentrate on studying.	1
shichi ji go fun ni eki de shuugou shimashou	7時5分に駅で集合しましょう。	Let's meet at the station at 7:05	1
kyou ha kumiai no atsumari ga aru wa	今日は組合の集まりがあるわ。	There is a union meeting today.	1
koudo na gijutsu wo motsu jinzai wo atsumemashita	高度な技術を持つ人材を集めました。	We've attracted highly-skilled personnel.	1
sono marason taikai ni ha takusan no kuniguni kara senshu ga atsumatta yo	そのマラソン大会にはたくさんの国々から選手が集まったよ。	A lot of athletes from many countries gathered for the marathon.	1
ame de atsumari ga warui desu ne	雨で集まりが悪いですね。	Not many people are showing up because of the rain.	1
sono toshi ni ha samazama na jinshu ga atsumatte iru wa	その都市には様々な人種が集まっているわ。	There are a lot of different ethnic groups in this city.	1
watashi no kaisha de shain wo boshuu shite imasu	私の会社で社員を募集しています。	My company is recruiting new staff.	1
shuugoujikan wo 30 pun hayamemashita	集合時間を30分早めました。	I pushed forward the meeting time by 30 minutes.	1
ima kara touan wo atsumemasu	今から答案を集めます。	I'll collect the answer sheets now.	1
kosuto ga konnani takakute ha saisan ga toremasen	コストがこんなに高くては採算が取れません。	When the costs are so high, profit can't be made.	1
sensei ha shiken no saiten ga owatta you ne	先生は試験の採点が終わったようね。	It seems that the teacher has finished marking the examination.	1
kono yama de ha kinoko ga toremasu yo	この山ではきのこが採れますよ	You can collect mushrooms on this mountain.	1
kare no kaisha ha denryoku wo kyoukyuu shite imasu	彼の会社は電力を供給しています。	His company supplies electricity.	1
gekkyuu ha maitsuki nijuugonichi ni shikyuu saremasu	月給は毎月25日に支給されます。	The salary is paid on the 25th of every month.	1
kono shigoto ha jikyuu sen'en desu	この仕事は時給1000円です。	This work pays 1000 yen per hour.	1
daigaku sotsugyou ha issakunen desu	大学卒業は一昨年です。	I graduated from university two years ago.	1
3 gatsu ni daigaku wo sotsugyou no mikomi desu	3月に大学を卒業の見込みです。	I expect to graduate from university in March.	1
ronbun wo shiagenai to sotsugyou dekimasen yo	論文を仕上げないと卒業できませんよ。	You can't graduate if you don't finish your thesis.	1
imouto ha tandai wo sotsugyou shimashita	妹は短大を卒業しました。	My little sister graduated from junior college.	1
sotsugyoushiki ni hanataba wo moraimashita	卒業式に花束をもらいました。	I got a bouquet of flowers at my graduation ceremony.	1
kare ha shinshushou ni shuunin shimashita ne	彼は新首相に就任しましたね。	He assumed his post as the new Prime Minister.	1
kotoshi kara atarashii shigoto ni tsukimasu	今年から新しい仕事に就きます。	I'll start a new job this year.	1
koko ha shokuin senyou no deiriguchi desu	ここは職員専用の出入り口です。	This is an entrance for staff only.	1
anata no shokugyou wo oshiete kudasai	あなたの職業を教えてください。	Please tell me your occupation.	1
watashi ha shitetsu no shokuin desu	私は私鉄の職員です。	I'm an employee of a private railway company.	1
kare ha na no tootta kaisha ni shuushoku shimashita	彼は名の通った会社に就職しました。	He found employment in a well-known company.	1
kare no shokuba ha tonai ni arimasu	彼の職場は都内にあります。	His office is in the Tokyo metropolitan area.	1
shikaku ga aru to shuushoku ni yuuri desu	資格があると就職に有利です。	It's advantageous to have qualifications when looking for work.	1
kanojo ha to no shokuin desu	彼女は都の職員です。	She's an official of the metropolitan government.	1
shokuba de no danjo fubyoudou ha yoku mirareru ne	職場での男女不平等はよく見られるね。	You can often find gender inequality in the workplace.	1
watashi ha kongetsu ippai de taishoku shimasu	私は今月一杯で退職します。	I retire at the end of this month.	1
otouto ha koukou wo taigaku shimashita	弟は高校を退学しました。	My little brother withdrew from high school.	1
guai ga warukatta no de shigoto wo soutai shimashita	具合が悪かったので仕事を早退しました。	I left work earlier than usual because I was unwell.	1
kare ni ha rikutsu ga tsuujinai	彼には理屈が通じない。	He doesn't understand logics.	1
kouchou no taikutsu na hanashi ga tsuzuita n da yo	校長の退屈な話が続いたんだよ。	The principal's boring talk carried on.	1
ano kaisha to no keiyaku ga seiritsu shimashita	あの会社との契約が成立しました。	We concluded a contract with that company.	1
kare ha sono kaisha to koyou keiyaku wo musunda no	彼はその会社と雇用契約を結んだの。	He signed a contract of employment with the company.	1
shachou mizukara ga sono kaisha to koushou shita yo	社長自らがその会社と交渉したよ。	The president himself negotiated with the company.	1
koushou ga seiritsu suru to iu zentei de hanashi wo susumemasu	交渉が成立するという前提で話を進めます。	We're proceeding with talks under the assumption we'll complete the deal.	1
nikokukan de jouyaku ga musubaremashita	2国間で条約が結ばれました。	A treaty was concluded between the two countries.	1
sono jiken ha shidaini wasurerarete itta no sa	その事件は次第に忘れられていったのさ。	The incident was gradually forgotten.	1
saikin jiken no shinsou ga akiraka ni natta yo	最近、事件の真相が明らかになったよ。	Recently the truth of the case has been revealed.	1
senjitsu no ken ha dou narimashita ka	先日の件はどうなりましたか。	What happened about that matter the other day?	1
saikin ha akushitsu na jiken ga ooi desu ne	最近は悪質な事件が多いですね。	There have been a lot of malicious incidents recently.	1
sono jiken ni tsuite ha toukyoku ga chousa shite imasu	その事件については当局が調査しています。	The authorities concerned are investigating the incident.	1
sono ken ha owatta to ninshiki shite imasu	その件は終わったと認識しています。	My understanding is that the matter is over.	1
kare ha oubo no jouken wo mitashite inai	彼は応募の条件を満たしていない。	He doesn't meet the application requirements.	1
kare ha kono jiken to mukankei desu	彼はこの事件と無関係です。	He has nothing to do with this incident.	1
sono jiken ni tsuite shinbun ni tousho shita n da	その事件について新聞に投書したんだ。	I wrote in to the newspaper regarding that incident.	1
kono ken no tantousha ha mitei desu	この件の担当者は未定です。	It's not yet decided who the person in charge of this matter will be.	1
youken wo memo shite okimashita	用件をメモしておきました。	I made a note of the matter.	1
kono hon wo sankou ni shite kudasai	この本を参考にして下さい。	Please refer to this book.	1
kare ha sangiin giin desu	彼は参議院議員です。	He is a member of the House of Councilors.	1
kazoku de otera ni omairi ni ikimashita	家族でお寺にお参りに行きました。	We payed a visit to the temple with the family.	1
kono sankousho ha totemo yaku ni tatsu yo	この参考書はとても役に立つよ。	This reference book is very useful.	1
saa mairimashou ka	さあ、参りましょうか。	Well, shall we go?	1
kare ha mijime na kimochi ni natta no	彼は惨めな気持ちになったの。	He began to feel miserable.	1
watashitachi no chiimu ni kare ga kuwawatta	私たちのチームに彼が加わった。	He joined our team.	1
natsuyasumi ni ha kurabu no gasshuku ni sanka shimasu	夏休みにはクラブの合宿に参加します。	I attend my club's training camp during summer vacations.	1
sorehasazogakkarishitakotodeshou。	それはさぞがっかりしたことでしょう。	That must have been disappointing.	1
iikagen na koto wo itte ha ikemasen	いい加減なことを言ってはいけません。	You shouldn't say thoughtless things.	1
kanojo ha demo ni sanka shita yo	彼女はデモに参加したよ。	She participated in the demonstration.	1
anata ha hoken ni kanyuu shite imasu ka	あなたは保険に加入していますか。	Have you taken out insurance?	1
kare ha purojiekuto he no sanka wo moushideta yo	彼はプロジェクトへの参加を申し出たよ。	He offered to join the project.	1
sankasha no ninzuu wo oshiete kudasai	参加者の人数を教えてください。	Please tell me the number of participants.	1
chounaikai no rekurieeshon ni sanka shita no	町内会のレクリエーションに参加したの。	I took part in the recreational activities organized by the neighborhood association.	1
saru mono ha owazu	去る者は追わず。	Do not chase after one who leaves.	1
kare ha ie kara oidasareta	彼は家から追い出された。	He was kicked out from his home.	1
patokaa ga baiku wo oikakete ru zo	パトカーがバイクを追いかけてるぞ。	The police car is chasing the motorbike.	1
oodaa wo tsuika shimashita	オーダーを追加しました。	I made an additional order.	1
zennen ni kurabete rieki ga agarimashita	前年に比べて利益が上がりました。	Profits went up compared with the previous year.	1
aiteiigyoukai ha josei no hiritsu ga hikui	IT業界は女性の比率が低い。	The ratio of women in the IT industry is low.	1
kanojo ha futari no kao wo mikurabeta no	彼女は二人の顔を見比べたの。	She looked alternately at the two of them, reading their faces.	1
kyonen no uriage to hikaku shimashou	去年の売り上げと比較しましょう。	Let's compare it with last year's sales.	1
uketori ni hanko wo onegai shimasu	受け取りに判子をお願いします。	Please stamp your seal on the receipt.	1
hanketsu ga kudasareta	判決が下された。	Judgment was passed.	1
koko ni hanko wo oshite kudasai	ここに判子を押してください。	Please put your personal seal here.	1
hyouban no ii resutoran ni ikimashita	評判の良いレストランに行きました。	We went to a restaurant with a good reputation.	1
ano ko ha kanji no ii ko desu	あの子は感じの良い子です。	That child is very likable.	1
kanjou to ha fukuzatsu na mono desu	感情とは複雑なものです。	Emotions are complex things.	1
kandou suru eiga deshita	感動する映画でした。	It was a moving film.	1
kodomo ga arukihajimeta toki kodomo no seichou wo jikkan shita	子供が歩き始めたとき、子供の成長を実感した。	I got a real sense of my kid's growth when he started walking.	1
kare ha kanjou wo komete sono uta wo utatta no	彼は感情を込めてその歌を歌ったの。	He sang the song with feeling.	1
hito ni ha shisou no jiyuu ga aru	人には思想の自由がある。	People have freedom of thought.	1
gokansou wo okikase kudasai	ご感想をお聞かせ下さい。	Please tell me your ideas.	1
kare ha kuusou ni fukette iru no	彼は空想にふけっているの。	He's indulging himself in daydreams.	1
kare no yosou ha ooatari deshita	彼の予想は大当たりでした。	His prediction was spot on.	1
watashi no yosou ga atatta	私の予想が当たった。	My forecast proved right.	1
kare ha takai risou wo motte iru no	彼は高い理想を持っているの。	He has high ideals.	1
soutei gai no mondai ga shoujita no。	想定外の問題が生じた の。	An unexpected problem arose.	1
kono sofuto de gazou wo gousei dekimasu	このソフトで画像を合成できます。	Images can be synthesized with this software.	1
kono firumu wo genzou shite kudasai	このフィルムを現像してください。	Please develop this film.	1
sonna koto ha souzou dekinai yo	そんなことは想像できないよ。	I can't imagine such a thing.	1
terebi de asu no kishou jouhou wo kakunin shita yo	テレビで明日の気象情報を確認したよ。	I checked tomorrow's weather forecast on the TV.	1
zou ni notte mitai desu	象に乗ってみたいです。	I want to ride on the elephant.	1
kare ha chuushouteki na e ga suki da ne	彼は抽象的な絵が好きだね。	He likes abstract pictures.	1
tousha no seihin ha sannenkan no hoshoutsuki desu	当社の製品は3年間の保障つきです。	Our company's products come with a three-year guarantee.	1
konpyuuta no denshi kairo ga koshou shita	コンピュータの電子回路が故障した。	The computer's electric circuits have broken down.	1
kono mondai ha haadouea no koshou ga gen'in desu	この問題はハードウェアの故障が原因です。	This problem is caused by a hardware malfunction.	1
watashi ga anata no anzen wo hoshou shimasu	私があなたの安全を保障します。	I guarantee your safety.	1
kuruma no mootaa wo shuuri shita ze	車のモーターを修理したぜ！	I repaired the car's motor.	1
te no kizu ga akka shita	手の傷が悪化した。	The wound in my hand has gotten worse.	1
ashi no kizu ga itamimasu	足の傷が痛みます。	The wound in my foot hurts.	1
sono jiko de ooku no hito ga fushou shita no	その事故で多くの人が負傷したの。	A lot of people were injured in the accident.	1
watashi ha muishiki ni kare wo kizutsukete shimatta	私は無意識に彼を傷つけてしまった。	Unintentionally, I ended up hurting him.	1
shiai no aite to yunifoomu wo koukan shita yo	試合の相手とユニフォームを交換したよ。	We exchanged uniforms with the opposing team at the match.	1
meido ga shiitsu wo koukan shite kureta ne	メイドがシーツを交換してくれたね。	The maid changed the sheets.	1
shoukaki wo koukan shimashita	消火器を交換しました。	The fire extinguisher was replaced.	1
hiragana wo katakana ni henkan shimashita	ひらがなをカタカナに変換しました。	I converted hiragana into katakana.	1
kuruma no taiya wo kaeta	車のタイヤを換えた。	I changed the tires on the car.	1
ie made koutai de nimotsu wo mochimashita	家まで交替で荷物を持ちました。	We took turns carrying the luggage to the house.	1
kuruma no buhin wo torikaeta n da	車の部品を取り替えたんだ。	I changed some parts of the car.	1
mizugi ni kigaemashita	水着に着替えました。	I changed into a swimsuit.	1
shiitsu wo torikaemashita	シーツを取り替えました。	I changed the sheets.	1
okane ga nai nara watashi ga tatekaete okimasu	お金がないなら私が立て替えておきます。	I'll pay for you for the time being if you have no money.	1
tabisaki de omoigakenai sainan ni aimashita	旅先で思いがけない災難にあいました。	We encountered an unexpected misfortune on the trip.	1
suigai de takusan no hito ga ie wo ushinatta no	水害でたくさんの人が家を失ったの。	A great number of people lost their homes due to flood damage.	1
kono zairyou ha yuugai da yo	この材料は有害だよ。	This material is hazardous.	1
hisaichi de ha inryousui ga fusoku shite iru no	被災地では飲料水が不足しているの。	Drinking water is lacking in the disaster area.	1
hon ni kabaa wo kabuseta no 。	本にカバーを被せたの。	I put a cover on the book.	1
kare no ie ha taifuu no higai ni atta no	彼の家は台風の被害にあったの。	His house was damaged in the typhoon.	1
hisaichi ni busshi wo okutta yo	被災地に物資を送ったよ。	We sent supplies to the disaster area.	1
kono hon ha peeji ga tokorodokoro yaburete iru ne	この本はページが所々破れているね。	The pages are torn here and there in this book.	1
shizen no hakai ga susunde iru no yo	自然の破壊が進んでいるのよ。	The destruction of nature is advancing.	1
kudaranaioshaberihayamenasai。	くだらないおしゃべりはやめなさい。	Stop chattering.	1
taionkei ga kowarete shimatta	体温計が壊れてしまった。	The clinical thermometer has broken.	1
kanojo ha toorigakari no hito ni sukuwareta yo	彼女は通りがかりの人に救われたよ。	She was saved by a passing stranger.	1
musume no sonzai ga watashi no sukui deshita	娘の存在が私の救いでした。	My daughter's existence saved me.	1
puuru de otoko no ko ga kyuujo saremashita	プールで男の子が救助されました。	A boy was rescued in the swimming pool.	1
kare no tasuke ha hontou ni arigatai na	彼の助けは本当に有り難いな。	His help is really welcome.	1
mohaya kare no tasuke ha hitsuyou ja nai no	もはや彼の助けは必要じゃないの。	His help is no longer needed.	1
kare ha shiitoberuto wo shite ita no de tasukatta n da	彼はシートベルトをしていたので助かったんだ。	He survived because he was wearing a seat belt.	1
kare no shien ga nakattara dou natte ita ka	彼の支援がなかったらどうなっていたか。	What would have happened without his support?	1
sono kuni ni ha busshi no enjo ga hitsuyou desu	その国には物資の援助が必要です。	That country needs substantial aid.	1
sono kuni no seifu ha kakkoku ni shien wo yousei shita no yo	その国の政府は各国に支援を要請したのよ。	The government of that country requested support from all nations.	1
yukimichi de hade ni koronde shimatta no	雪道で派手に転んでしまったの。	I slipped spectacularly on the snowy road.	1
hashutsujo ni dare mo inai na	派出所にだれもいないな。	There's no one in the police box.	1
ojiichan ni okozukai wo moratta yo	おじいちゃんにお小遣いをもらったよ。	I got pocket money from grandpa.	1
kare ha igirisu ni haken saremashita	彼はイギリスに派遣されました。	He was sent to England.	1
kono sentaa de koujou zentai wo kanri shite imasu	このセンターで工場全体を管理しています。	The entire factory is run from this center.	1
kare ha ooki na ayamachi wo okashite iru	彼は大きな過ちを犯している。	He is making a big mistake.	1
keisatsu ha hannin wo tokutei shita rashii yo	警察は犯人を特定したらしいよ。	The police seem to have determined the criminal.	1
aitsu ga hannin desu	あいつが犯人です。	That guy's the criminal.	1
hannin ha pisutoru wo motte iru wa	犯人はピストルを持っているわ。	The criminal has a pistol.	1
kare ga hannin na no ha meihaku desu	彼が犯人なのは明白です。	It's clear that he's the perpetrator.	1
saikin hanzai ga hette imasu	最近犯罪が減っています。	Crime has been decreasing lately.	1
kare no tsumi ha omoi na	彼の罪は重いな。	His crime is serious.	1
goutou ga kamera ni utsutte imashita	強盗がカメラに写っていました。	The burglar was caught on camera.	1
sakuya jitensha no tounan ni atta yo	昨夜、自転車の盗難にあったよ。	My bicycle was stolen last night.	1
sono otoko ha kanojo no baggu wo ubatta zo	その男は彼女のバッグを奪ったぞ。	That man stole her bag.	1
hannin ha keisatsu ni tsukamaru mae ni jisatsu shimashita	犯人は警察に捕まる前に自殺しました。	The criminal committed suicide before he was caught by the police.	1
kanojo ha tsuini tsukamarimashita	彼女はついに捕まりました。	She was finally caught.	1
hannin ha kokugai ni nigeta you desu	犯人は国外に逃げたようです。	The criminal seems to have escaped abroad.	1
tora ga ori kara nigedashimashita	トラがおりから逃げ出しました。	The tiger escaped from the cage.	1
shippai shita toki no nigemichi wo kangaeta no	失敗した時の逃げ道を考えたの。	I considered my escape route if I failed.	1
karera ha tsugi no shiai no tame ni sakusen wo tateta no yo	彼らは次の試合のために作戦を立てたのよ。	They determined the strategy for the next game.	1
kono shousetsu no shudai ha hansen desu	この小説の主題は反戦です。	The main theme of this novel is opposition to war.	1
senzen no seikatsu ha ima to mattaku chigaimashita	戦前の生活は今と全く違いました。	Life before the World War II is quite different from that of now.	1
utagassen ha aka gumi no kachi deshita ne	歌合戦は赤組の勝ちでしたね。	The red team won the singing contest.	1
kare ha saigo made tatakatta yo	彼は最後まで戦ったよ。	He fought to the very end.	1
kare ha atarashii koto ni chousen shite iru	彼は新しいことに挑戦している。	He's trying out new challenges.	1
haisen no gen'in ha nan darou	敗戦の原因は何だろう。	I wonder what caused the defeat.	1
nagai tatakai ga owatta	長い戦いが終わった。	The long battle came to an end.	1
watashi no chiimu ha 1 kaisen de yabureta yo	私のチームは1回戦で敗れたよ。	My team lost in the first round.	1
taisen de ooku no hito ga nakunarimashita	大戦で多くの人が亡くなりました。	A lot of people died in the world wars.	1
senkyo de ha mittsu no seitou ga arasotte imasu	選挙では3つの政党が争っています。	Three political parties are competing in the election.	1
sono nikoku ha shigen wo megutte arasotte imasu	その2国は資源をめぐって争っています。	The two countries are competing for resources.	1
kare ha kojin kyougi no supootsu ga suki desu	彼は個人競技のスポーツが好きです。	He likes individual sports.	1
kousoku douro ha kon deta yo 。	高速道路は混んでたよ。	There was a lot of traffic on the expressway.	1
kyou ha depaato ga konzatsu shite ita yo	今日はデパートが混雑していたよ。	The department store was crowded today.	1
futatsu no yakuhin wo 1 tai 3 no wariai de mazeta n da	二つの薬品を1対3の割合で混ぜたんだ。	I mixed the two chemicals at a ratio of 1 to 3.	1
karee ni yooguruto wo irete yoku mazete kudasai	カレーにヨーグルトを入れて、よく混ぜてください。	Please put the yogurt in the curry, and mix it well.	1
sengo no nihon ha konran shite imashita	戦後の日本は混乱していました。	Japan was in a state of confusion after World War II.	1
saikin kare ha seikatsu no rizumu ga midarete imasu	最近彼は生活のリズムが乱れています。	His daily routine has been disrupted lately.	1
moji no ookisa ha touitsu shite kudasai	文字の大きさは統一してください。	Please standardize the size of the characters.	1
kore ha sakunen no uriage no toukei desu	これは昨年の売り上げの統計です。	These are the statistics for last year's sales.	1
raigetsu no soukai ha toukyou de okonawaremasu	来月の総会は東京で行われます。	The general meeting next month is to be held in Tokyo.	1
zen'in no iken wo sougou shite mimashou	全員の意見を総合してみましょう。	Let's put all the opinions together.	1
sankasha no sousuu ha 705 nin deshita	参加者の総数は705人でした。	The total number of attendees was 705.	1
keisatsu ga sono otoko wo sagashite iru no	警察がその男を捜しているの。	The police are searching for the man.	1
sono satsujin jiken no sousa ha 2 nenkan tsuzukimashita	その殺人事件の捜査は2年間続きました。	The investigation of the murder case continued for two years.	1
shousuu ha kirisutete keisan shite kudasai	小数は切り捨てて計算して下さい。	Please round down the decimal and then calculate.	1
gomi wo nokorazu hirotta yo	ゴミを残らず拾ったよ。	I picked up all the garbage.	1
sakuin ha taitei hon no ushiro ni tsuite imasu yo	索引はたいてい本の後ろについていますよ。	The index is usually found in the end of the book.	1
kore ha jinkou no mizuumi desu	これは人工の湖です。	This is an artificial lake.	1
mizuumi ni tsuru ga imasu yo	湖にツルがいますよ。	There's a crane on the lake.	1
mizuumi de sukeeto wo shita	湖でスケートをした。	We went skating on the lake.	1
kaeru ga ike ni tobikonda ne	カエルが池に飛び込んだね。	The frog jumped into the pond.	1
kanojo ha ibunka ni taisuru rikai wo fukameta ne	彼女は異文化に対する理解を深めたね。	She deepend her understanding of different cultures.	1
kare ha itsumo monogoto wo fukaku kangaeru no	彼はいつも物事を深く考えるの。	He always thinks deeply about things.	1
kare ha chuuibukai hito desu	彼は注意深い人です。	He's a cautious person.	1
watashi no hanashi wo ochitsuite kiite kudasai	私の話を落ち着いて聞いてください。	Calm down and listen to me.	1
kaabu wo magaru toki ha supiido wo otoshimashou	カーブを曲がるときはスピードを落としましょう。	You should slow down when driving around a bend.	1
otouto ha ochitsuki ga tarimasen	弟は落ち着きが足りません。	My little brother is too restless.	1
seiseki ga ochite gakkari shita	成績が落ちてがっかりした。	I was disappointed bacause my grades fell.	1
kongakki ha seiseki ga gakunto ochite shimatta	今学期は成績ががくんと落ちてしまった。	My grades fell sharply this semester.	1
tsugi no danraku wo yonde kudasai	次の段落を読んでください。	Please read the following paragraph.	1
machigai wo miotoshita no	間違いを見落としたの。	I failed to notice a mistake.	1
kono tesuto ni shippai shitara rakudai desu	このテストに失敗したら落第です。	You're going to flunk if you fail this test.	1
maamaa ochitsuite kudasai	まあまあ、落ち着いてください。	Now, now, please settle down.	1
nitchuu ha zutto umi de oyoide imashita	日中はずっと海で泳いでいました。	I swam in the sea all day long.	1
mizuumi no suimen ni chiisaku nami ga tatte iru na	湖の水面に小さく波が立っているな。	There are a lot of small waves on the surface of the lake.	1
motto hoka no machi to no kouryuu wo fukamemashou	もっと他の町との交流を深めましょう。	Let's strengthen our ties with other towns.	1
kare ha ichiryuu no senshu desu	彼は一流の選手です。	He is a top-ranked player.	1
koko de futatsu no kairyuu ga deatte iru	ここで2つの海流が出合っている。	Two sea currents converge here.	1
